test_id,algorithm,expected,actual,verification,ddl_duration,dml_ops,dml_errors,details
CD-CHAR-63U-INSTANT,INSTANT,SUCCESS,SUCCESS,FAIL,0.0235,644,3,"{""test_id"": ""CD-CHAR-63U-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0235, ""dml_ops"": 644, ""dml_errors"": 3, ""verification"": ""FAIL"", ""mismatches"": [""t1_extra: id=100110""], ""ddl_expected_match"": true, ""t1_count"": 71, ""t2_count"": 71, ""count_match"": true}"
CD-CHAR-254U-INPLACE,INPLACE,SUCCESS,SUCCESS,FAIL,0.0343,595,5,"{""test_id"": ""CD-CHAR-254U-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0343, ""dml_ops"": 595, ""dml_errors"": 5, ""verification"": ""FAIL"", ""mismatches"": [""t2_extra: id=100043"", ""t2_extra: id=100061"", ""t2_extra: id=100080"", ""t2_extra: id=100087"", ""t2_extra: id=100096"", ""data_mismatch: id=100054"", ""data_mismatch: id=100069"", ""data_mismatch: id=100074"", ""data_mismatch: id=100075"", ""data_mismatch: id=100082"", ""data_mismatch: id=100092""], ""ddl_e"
CD-CHAR-254U-INSTANT,INSTANT,SUCCESS,FAIL,DDL_UNEXPECTED,0.0262,600,2,"{""test_id"": ""CD-CHAR-254U-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0262, ""dml_ops"": 600, ""dml_errors"": 2, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""ddl_expected_match"": false, ""t1_count"": 68, ""t2_count"": 68, ""count_match"": true}"
CD-VAR-L1-INPLACE,INPLACE,SUCCESS,FAIL,DDL_UNEXPECTED,0.0195,597,1,"{""test_id"": ""CD-VAR-L1-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0195, ""dml_ops"": 597, ""dml_errors"": 1, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [""t1_extra: id=100164"", ""t1_extra: id=100165"", ""t1_extra: id=100166"", ""t1_extra: id=100167""], ""ddl_error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""ddl_expected_match"": false, ""t1_count"": 77, ""t2_count"": 74, ""count_"
CD-VAR-L1-INSTANT,INSTANT,SUCCESS,FAIL,DDL_UNEXPECTED,0.0224,614,0,"{""test_id"": ""CD-VAR-L1-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0224, ""dml_ops"": 614, ""dml_errors"": 0, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_error"": ""(1846, 'ALGORITHM=INSTANT is not supported. Reason: Need to rebuild the table to change column type. Try ALGORITHM=COPY/INPLACE.')"", ""ddl_expected_match"": false, ""t1_count"": 74, ""t2_count"": 74, ""count_match"": true}"
CD-VAR-254L-INPLACE,INPLACE,SUCCESS,FAIL,DDL_UNEXPECTED,0.0187,650,3,"{""test_id"": ""CD-VAR-254L-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0187, ""dml_ops"": 650, ""dml_errors"": 3, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_error"": ""(1846, 'ALGORITHM=INPLACE is not supported. Reason: Cannot change column type INPLACE. Try ALGORITHM=COPY.')"", ""ddl_expected_match"": false, ""t1_count"": 85, ""t2_count"": 85, ""count_match"": true}"
CD-VAR-254L-INSTANT,INSTANT,SUCCESS,FAIL,DDL_UNEXPECTED,0.0214,610,4,"{""test_id"": ""CD-VAR-254L-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""FAIL"", ""ddl_duration_s"": 0.0214, ""dml_ops"": 610, ""dml_errors"": 4, ""verification"": ""DDL_UNEXPECTED"", ""mismatches"": [], ""ddl_error"": ""(1146, \""Table 'ddl_test.t1' doesn't exist\"")"", ""ddl_expected_match"": false, ""t1_count"": 82, ""t2_count"": 82, ""count_match"": true}"
CD-VAR-255L-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.0365,642,2,"{""test_id"": ""CD-VAR-255L-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0365, ""dml_ops"": 642, ""dml_errors"": 2, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 30, ""t2_count"": 30, ""count_match"": true}"
CD-VAR-255L-INSTANT,INSTANT,SUCCESS,SUCCESS,FAIL,0.0276,643,5,"{""test_id"": ""CD-VAR-255L-INSTANT"", ""algorithm"": ""INSTANT"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0276, ""dml_ops"": 643, ""dml_errors"": 5, ""verification"": ""FAIL"", ""mismatches"": [""t2_extra: id=100117"", ""data_mismatch: id=100104""], ""ddl_expected_match"": true, ""t1_count"": 31, ""t2_count"": 32, ""count_match"": false}"
CD-VAR-85U3-INPLACE,INPLACE,SUCCESS,SUCCESS,PASS,0.0299,697,4,"{""test_id"": ""CD-VAR-85U3-INPLACE"", ""algorithm"": ""INPLACE"", ""expected_ddl"": ""SUCCESS"", ""ddl_actual"": ""SUCCESS"", ""ddl_duration_s"": 0.0299, ""dml_ops"": 697, ""dml_errors"": 4, ""verification"": ""PASS"", ""mismatches"": [], ""ddl_expected_match"": true, ""t1_count"": 21, ""t2_count"": 21, ""count_match"": true}"
